idcontrato,tipoContrato,tipoprocedimento,objectoContrato,adjudicante,adjudicatarios,dataPublicacao,dataCelebracaoContrato,precoContratual,cpv,prazoExecucao,localExecucao,fundamentacao,ProcedimentoCentralizado,DescrAcordoQuadro
10432581,2,2,Empreitada de Conservação e manutenção das fachadas interiores da Torre das Cabaças,38,2347,2024-01-04,2024-01-04,11910.4,49,60,46.0,34.0,Não,
10432586,3,4,Q1/3878/2023 - FLUCLOXACILINA 500MG INJ. ,50,2349,2024-01-04,2024-01-03,1100.0,50,60,10.0,40.0,Não,10.0
10432658,1,2,"Prestação de serviços de controlo analítico para os Matadouros das ilhas de São Miguel, Santa Maria, Terceira, São Jorge, Graciosa, Pico, Faial, Flores e Corvo.",50,2364,2024-01-04,2024-01-03,29880.53,20,364,47.0,42.0,Não,
10432803,1,3,AQUISIÇÃO DOS SERVIÇOS DE SEGUROS NO MUNICÍPIO DE LAGOA,51,2378,2024-01-04,2024-01-04,501539.86,20,731,48.0,47.0,Não,
10432815,1,3,Serviço de transporte de alunos do ensino básico e secundário e de alunos com necessidades de saúde específica do Município de Matosinhos no período compreendido entre 27 de novembro de 2023 e 21 de j,52,2386,2024-01-04,2024-01-03,12000.0,51,208,49.0,49.0,Não,
10432895,3,2,"Fornecimento contínuo de mercearia, para o refeitório da Escola Evaristo Nogueira (EEN), propriedade da Escola
Evaristo Nogueira, Lda.",53,2388,2024-01-04,2024-01-04,9318.12,52,209,50.0,53.0,Não,
10432947,3,2,"Aquisição de uma plataforma de gestão integrada para a formação profissional, relativa à Tipologia de Operação 3.01 Qualificação de Pessoas com Deficiência e Incapacidade",50,2389,2024-01-04,2024-01-03,5049.0,53,517,51.0,54.0,Não,
10433191,3,3,"Aquisição de Equipamentos de Proteção Individual (EPI) Florestais - FEPC e Reserva, no âmbito do PRR",54,2410,2024-01-05,2024-01-04,488775.0,26,60,52.0,56.0,Não,
10433234,1,1,"Aquisição de serviços de revisão da infraestrutura  dos sistemas de videoconferência das salas de aula do Instituto Politécnico de Setúbal
",55,2419,2024-01-05,2024-01-04,35093.8,54,30,53.0,61.0,Não,
10433469,3,3,Aquisição de produtos alimentares diversos,56,2424,2024-01-05,2024-01-04,11890.15,19,244,10.0,70.0,Não,
10433570,1,4,AQUISIÇÃO DE SERVIÇOS DE LEVANTAMENTO ARQUITETÓNICO E LEVANTAMENTO TOPOGRÁFICO DA ESCOLA BÁSICA Nº14 «LEÃO DE ARROIOS» EM LISBOA,57,2429,2024-01-05,2024-01-04,5458.8,669,45,23.0,74.0,Não,12.0
10433621,1,1,Aquisição de serviços de Cedência de instalações para duas salas de Informática na Covilhã para 2024,58,2433,2024-01-05,2024-01-04,8400.0,55,356,54.0,80.0,Não,
10433697,1,2,Aquisição de serviços de segurança e vigilância - Unidades de Saúde,59,2437,2024-01-05,2024-01-03,19400.0,56,60,55.0,91.0,Não,
10433811,3,4,740/2023 - Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2023/438 - Derivados do plasma humano para aquisição de medicamentos derivados do plasma ,8,2455,2024-01-05,2024-01-05,2080.0,57,361,23.0,4.0,Sim,13.0
10433923,3,4,740/2023 - Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2023/438 - Derivados do plasma humano para aquisição de medicamentos derivados do plasma ,119,2458,2024-01-05,2024-01-05,2457.23,58,361,23.0,6.0,Sim,13.0
10434093,1,3,"Concurso Público Ref.ª CP1/74/2023, Prestação de Serviços na Área de Seguros (Automóvel e Acidentes de trabalho) dos SMTUC",46,2460,2024-01-05,2024-01-04,511365.12,59,366,56.0,7.0,Não,
10434172,2,1,"Reabilitação da cobertura do edifício situado na Rua da Bainharia, n.º 19 - recuperação das carpintarias exteriores do r/chão e introdução de sistema de extração na instalação sanitária do piso 4 (EM.",60,2463,2024-01-05,2024-01-04,22815.55,60,60,26.0,15.0,Não,
10434253,3,4,"731/2023 - Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2021/47, 2021/6, 2021/61, 2022/40, 2023/305, 2023/481 e 2023/492",61,2477,2024-01-05,2024-01-01,667722.63,61,366,23.0,31.0,Sim,14.0
10434319,3,4,"731/2023 - Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2021/47, 2021/6, 2021/61, 2022/40, 2023/305, 2023/481 e 2023/492",62,2480,2024-01-05,2024-01-01,212917.41,62,366,23.0,33.0,Sim,14.0
10434363,3,4,Aquisição de Medicamentos do Sistema Nervoso Central _ ano 2024,63,2483,2024-01-05,2024-01-01,16753.56,20,365,21.0,35.0,Não,15.0
10434401,3,3,"CP 056/2023 - Aquisição de ovos e derivados, por lotes",64,2500,2024-01-05,2024-01-04,13360.2,63,209,,37.0,Não,
10434423,3,4,Aquisição de Medicamentos do Sistema Nervoso Central _ ano 2024,65,2501,2024-01-05,2024-01-01,834046.22,1,365,21.0,38.0,Não,15.0
10434511,3,2,Fornecimento faseado de gás de garrafa para o ano 2024,45,2503,2024-01-05,2024-01-04,7924.56,1748,366,29.0,48.0,Não,
10434559,2,1,Empreitada de Reabilitação de um apartamento no Conjunto Habitacional da Nogueira – Santa Cruz,53,2508,2024-01-05,2024-01-03,50950.0,64,30,57.0,51.0,Não,
10434560,3,4,Aquisição de Medicamentos do Sistema Nervoso Central _ ano 2024,66,2513,2024-01-05,2024-01-01,4563.27,19,365,21.0,72.0,Não,15.0
10434730,1,3,Serviço de aluguer de viaturas certificadas para transporte coletivo de crianças,1402,2517,2024-01-05,2024-01-03,112860.0,669,182,58.0,73.0,Não,
10434866,1,2,"Limpeza de ruas;
Manutenção de espaços verdes;
Todos os serviços inerentes à 1ª posição de assistente Operacional.
",67,2527,2024-01-05,2024-01-04,13260.0,65,366,59.0,77.0,Não,
10434965,3,1,Aquisição Pneus 2024,68,2536,2024-01-05,2024-01-01,7976.0,66,366,,78.0,Não,
10435095,3,3,3023013080/Fornecimento de Peixe Fresco 1º Trimestre 2024,85,2538,2024-01-05,2024-01-05,97432.5,67,91,61.0,88.0,Não,
10435106,1,1,"Aquisição de Serviços de Reparação das Unidades CIATESA instaladas nas Piscinas
Municipais de Vilar Formoso e Almeida",68,2547,2024-01-05,2024-01-05,11835.97,19,20,62.0,89.0,Não,
10435161,5,2,"Concessão de exploração do Restaurante/Bar, situados no piso 0 do Bloco D do Instituto Superior de Contabilidade e Administração do Porto.",85,2550,2024-01-05,2024-01-01,19200.0,669,364,49.0,4.0,Não,
10435481,1,2,Desenvolvimento e implementação do Projecto Sextante – Instrumento para Tomada de Decisão Económica no Turismo,69,2552,2024-01-05,2024-01-03,17500.0,68,213,23.0,6.0,Não,
10435561,2,1,PC.130.2023.0001717 - Manutenção/Reparação do sistema de campainhas e intercomunicadores de edifícios sitos na Amadora,70,2554,2024-01-05,2024-01-04,49950.0,69,90,63.0,7.0,Não,
10435589,3,1,Filtros e Células Patologia 2024,71,2558,2024-01-05,2024-01-01,291.2,31,366,64.0,15.0,Não,
10435608,1,1,BNAUT - Apartamentos de Transição de Chelo _ Fiscalização,391,2573,2024-01-05,2024-01-03,16680.0,20,365,65.0,31.0,Não,
10435906,3,1,Aquisição de Etiqueta Térmica,71,2574,2024-01-05,2024-01-05,984.0,20,30,31.0,33.0,Não,
10435914,3,4,"Convite à apresentação de propostas ao abrigo dos acordos-quadro: 2021/6, 2021/41, 2021/61, 2022/55, 2022/173, 2023/305 e 2023/481",391,2578,2024-01-05,2024-01-05,4498.75,6,366,63.0,35.0,Sim,16.0
10435926,3,4,Fornecimento de combustíveis rodoviários em Portugal Continental,19,2581,2024-01-05,2024-01-04,319580.0,70,366,,37.0,Sim,17.0
10436029,1,3,Locação de Equipamentos Multifunções Fotocopiadoras,72,2591,2024-01-05,2024-01-04,188820.0,20,731,66.0,38.0,Não,
10436110,1,1,Prestação de Serviços de Apoio à Gestão Corrente do Sistema de Gestão de Resíduos do Douro Superior,19,2594,2024-01-05,2024-01-02,5543.92,20,121,67.0,48.0,Não,
10436160,3,4,"Convite à apresentação de propostas ao abrigo dos acordos-quadro: 2021/6, 2021/41, 2021/61, 2022/55, 2022/173, 2023/305 e 2023/481",73,2598,2024-01-05,2024-01-05,1920.0,20,366,63.0,51.0,Sim,16.0
10436188,3,4,"Convite à apresentação de propostas ao abrigo dos acordos-quadro: 2021/6, 2021/41, 2021/61, 2022/55, 2022/173, 2023/305 e 2023/481",74,2600,2024-01-05,2024-01-05,48386.0,71,366,63.0,72.0,Sim,16.0
10436620,1,2,Aquisição de serviços para desenvolvimento do Projeto Orçamento Participativo Faro 4ªedição (2023/24),19,2614,2024-01-05,2024-01-05,5872.0,20,152,68.0,73.0,Não,
10436654,1,3,Aquisição de Serviços para elaboração de Projeto de Execução ER338 - KM30+500 A KM32+500 (LE) - ESTABILIZAÇÃO DE TALUDES DE ESCAVAÇÃO E CONTROLO DE QUEDA DE BLOCOS,75,2619,2024-01-05,2024-01-05,120500.0,72,225,69.0,77.0,Não,
10436845,3,4,"Aquisição de Material de incontinência, proteção cutânea e alivio, ao abrigo do CPA 2021/025, para o HFF, para o ano 2024",76,2624,2024-01-05,2024-01-05,48000.0,1876,361,63.0,78.0,Não,18.0
10436903,1,2,AD 177/23 - Aquisição de serviços para a realização de um concerto sinfónico de Reis ,77,2627,2024-01-05,2024-01-05,16000.0,70,1,27.0,88.0,Não,
10436944,1,2,Aquisição de Serviços de Segurança para as instalações dos SSCML,1176,2631,2024-01-05,2024-01-05,12140.02,20,31,23.0,89.0,Não,
10436999,3,1,Aquisição de um sistema de scanner planetário e workstation para a sua operação,78,2636,2024-01-05,2024-01-03,19697.0,73,64,23.0,1.0,Não,
10437010,1,1,23AS00006498-Arouca - Aquisição de serviços para projecto de reabilitação geral do Palácio de Justiça,79,2640,2024-01-05,2024-01-03,30000.0,57,90,70.0,2.0,Não,
10437026,3,1,Fornecimento e instalação de cozinha e balcão para o Centro Interpretativo Parlamentar,80,2662,2024-01-05,2024-01-04,10205.0,74,60,23.0,5.0,Não,
10437041,3,2,Aquisição de Endoprótese Torácica,81,2682,2024-01-05,2024-01-04,10500.0,75,20,26.0,8.0,Não,
10437071,2,3,"Construção da Capela Mortuária Rebordosa e Execução de Arruamento envolvente à Capela de Rebordosa, por lotes",82,2685,2024-01-05,2024-01-05,1357959.25,1149,365,40.0,9.0,Não,
10437231,3,4,Aquisição e Fornecimento de Combustíveis Rodoviários (Acordo-Quadro de Combustíveis Rodoviários da Central de Compras da LIPOR - Lote 1),1537,2691,2024-01-05,2024-01-05,305960.0,1616,731,71.0,10.0,Não,19.0
10437242,2,3,"Construção da Capela Mortuária Rebordosa e Execução de Arruamento envolvente à Capela de Rebordosa, por lotes",77,2693,2024-01-05,2024-01-05,160236.15,1739,180,40.0,11.0,Não,
10437256,3,2,Refeições escolares para o JI do Tourigo e Barreiro de Besteiros  EB1 do Tourigo para o ano letivo de 2023/2024,1176,2694,2024-01-05,2024-01-05,19910.83,76,335,72.0,16.0,Não,
10437879,3,2,AQUISIÇÃO DE 4 CONJUNTOS DE ESTRADOS PARA REPARAÇÃO DAS CAMAS,83,2698,2024-01-05,2024-01-05,885.12,77,20,21.0,22.0,Não,
10437883,3,4,Aquisição de Medicamentos do aparelho digestivo ao abrigo do CPA 2022/014 para o ano 2024,84,2706,2024-01-05,2024-01-05,7523.7,78,361,63.0,28.0,Não,20.0
10437938,3,4,Aquisição de Medicamentos do aparelho digestivo ao abrigo do CPA 2022/014 para o ano 2024,1399,2709,2024-01-05,2024-01-05,354.0,2023,361,63.0,29.0,Não,20.0
10438024,3,4,Aquisição de Medicamentos do aparelho digestivo ao abrigo do CPA 2022/014 para o ano 2024,68,2731,2024-01-05,2024-01-05,1686.0,70,361,63.0,32.0,Não,20.0
10438065,1,2,"Aquisição de serviços de trabalhos técnicos certificação energética e Barómetro Eco.AP
",85,2733,2024-01-05,2024-01-04,11417.0,79,84,,34.0,Não,
