ID,Codigo_CPV,Descricao
44,15551300-8,Iogurte
45,30199000-0,Artigos de papelaria e outros artigos de papel
46,33690000-3,Medicamentos vários
47,90510000-5,Tratamento e eliminação de resíduos
48,15511210-8,Leite do tipo UHT
49,92312100-2,"Serviços recreativos de produtores teatrais, grupos de cantores, bandas de música e orquestras"
50,50000000-5,Serviços de reparação e manutenção
51,22462000-6,Material publicitário
52,79340000-9,Serviços de publicidade e marketing
53,90910000-9,Serviços de limpeza
54,09241000-0,Xistos betuminosos
55,79100000-5,Serviços jurídicos
56,90911000-6,"Serviços de limpeza de alojamentos, edifícios e janelas"
57,98300000-6,Serviços diversos
58,22200000-2,"Jornais, revistas especializadas, publicações periódicas e revistas"
59,34990000-3,"Equipamento de controlo, segurança, sinalização e iluminação"
60,45233142-6,Reparação de estradas
61,30000000-9,"Máquinas, equipamento e material de escritório e de informática, excepto mobiliário e pacotes de programas (software)"
62,45450000-6,Outras obras de acabamento de edifícios
63,90000000-7,"Serviços relativos a águas residuais, resíduos, limpeza e ambiente"
64,60100000-9,Serviços de transporte rodoviário
65,48931000-3,Pacote de software para formação
66,35100000-5,Equipamento de emergência e de segurança
67,50340000-0,Serviços de reparação e manutenção de equipamento audiovisual e óptico
68,71200000-0,Serviços de arquitectura e afins
69,80520000-5,Instalações para formação
70,45453000-7,Obras de revisão e recuperação
71,03142000-8,Produtos de origem animal
72,09122000-0,Propano e butano
73,60170000-0,Aluguer de veículos para transporte de passageiros com condutor
74,34000000-7,Equipamento e produtos auxiliares de transporte
75,15000000-8,"Produtos alimentares, bebidas, tabaco e produtos afins"
76,50511000-0,Serviços de reparação e manutenção de bombas
77,55300000-3,Serviços de mesa e de restauração
78,73000000-2,Serviços de investigação e desenvolvimento e serviços de consultoria conexos
79,38000000-5,"Equipamento laboratorial, óptico e de precisão (exc. óculos)"
80,71311000-1,Serviços de consultoria em matéria de engenharia civil
81,09130000-9,Petróleo e destilados
82,71356000-8,Serviços técnicos
83,72224000-1,Serviços de consultoria em gestão de projectos
84,79952000-2,Serviços de eventos
85,71335000-5,Estudos de engenharia
86,33700000-7,Produtos para cuidados pessoais
87,92300000-4,Serviços recreativos
88,79710000-4,Serviços de segurança
89,30200000-1,Equipamento e material informático
90,71240000-2,"Serviços de arquitectura, engenharia e planeamento"
91,44212320-8,Estruturas diversas
92,33000000-0,"Equipamento médico, medicamentos e produtos para cuidados pessoais"
93,45212360-7,Construção de edifícios religiosos
94,15894210-6,Refeições para escolas
95,71300000-1,Serviços de engenharia
96,71351800-1,Serviços topográficos e de radiestesia
97,44619000-2,Outros contentores
98,85147000-1,Serviços de medicina do trabalho
99,15131100-6,"Produtos à base de enchidos de carne | 15131490-6 - Pratos à base de carne de suíno, preparados"
100,39711100-0,Frigoríficos e congeladores
101,33155000-1,Aparelhos para fisioterapia
102,72611000-6,Serviços de assistência técnica informática
103,19500000-1,Materiais de plástico e de borracha
104,30197643-5,Papel para fotocópia
105,90710000-7,Gestão ambiental
106,38420000-5,"Instrumentos para medição do caudal, do nível e da pressão de líquidos e gases"
107,92000000-1,"Serviços recreativos, culturais e desportivos"
108,66171000-9,Serviços de consultoria financeira
109,76480000-1,Serviços de colocação de tubagem
110,79000000-4,"Serviços a empresas: direito, comercialização, consultoria, recrutamento, impressão e segurança"
111,32320000-2,Equipamento audiovisual e de televisão
112,45113000-2,Obras no local
113,32420000-3,Equipamento de rede
114,92312000-1,Serviços relacionados com arte
115,35000000-4,"Equipamento de segurança, combate a incêndios, polícia e defesa"
116,72540000-2,Serviços de actualização informática
117,66515200-5,Serviços de seguros de bens
118,90733000-4,Serviços relacionados com a poluição da água
119,79933000-3,Serviços de assistência em matéria de design
120,39154000-6,Equipamento para exposições
121,50313200-4,Serviços de manutenção de fotocopiadoras
122,34928500-3,Equipamento de iluminação pública
123,33100000-1,Equipamento médico
124,66512200-4,Serviços de seguros de saúde
125,71250000-5,"Serviços de arquitectura, engenharia e levantamento topográfico"
126,90514000-3,Serviços de reciclagem de resíduos
127,34923000-3,Equipamento de controlo do tráfego rodoviário
128,03100000-2,Produtos agrícolas e hortofrutícolas
129,79411100-9,Serviços de consultoria no desenvolvimento de empresas
130,79610000-3,Serviços de colocação de pessoal
131,79810000-5,Serviços de impressão
132,22000000-0,Material impresso e afins | 30190000-7 - Equipamento e material de escritório diverso
133,79421000-1,"Serviços de gestão de projectos, excepto projectos de construção"
134,39522530-1,Tendas
135,48461000-7,Pacote de software analítico ou científico
136,80400000-8,Serviços de ensino para adultos e outros serviços relacionados com educação
137,79620000-6,"Serviços de fornecimento de pessoal, inclusive temporário"
138,16160000-4,Equipamento diverso de jardinagem
139,77211500-7,Serviços de manutenção de árvores
140,72610000-9,Serviços de assistência informática
141,71500000-3,Serviços relacionados com a construção
142,79510000-2,Serviços de atendimento de telefones
143,50112110-7,Serviços de reparação de carroçarias para veículos
144,45261900-3,Obras de reparação e manutenção de coberturas
145,09000000-3,"Produtos petrolíferos, combustíveis, electricidade e outras fontes de energia"
146,79820000-8,Serviços relacionados com a impressão
147,33141000-0,Material médico não químico descartável e produtos hematológicos
148,64210000-1,Serviços telefónicos e de transmissão de dados
149,45453100-8,Obras de recuperação
150,85121270-6,Serviços de psiquiatria ou psicologia
151,15119000-5,Carnes diversas
152,92310000-7,Serviços de criação e interpretação artísticas e literárias
153,15500000-3,Lacticínios
154,03200000-3,"Cereais, batatas, produtos hortícolas, frutas e frutos de casca rija"
155,33696500-0,Reagentes de laboratório
156,45233220-7,Pavimentação de estradas
157,09120000-6,Combustíveis gasosos
158,15900000-7,"Bebidas, tabaco e produtos afins"
159,71221000-3,Serviços de arquitectura para edifícios
160,60000000-8,Serviços de transporte (excl. transporte de resíduos)
161,34928300-1,Barreiras de segurança
162,45211341-1,Construção de apartamentos
163,63000000-9,Serviços anexos e auxiliares dos transportes; serviços de agências de viagens
164,44000000-0,Estruturas e materiais de construção; produtos auxiliares de construção (excepto aparelhos eléctricos)
165,09123000-7,Gás natural
166,80100000-5,Serviços de ensino primário
167,71242000-6,"Preparação de projecto e concepção, estimativa de custos"
168,45212313-3,Construção de museu
169,79342311-6,Estudo do índice de satisfação da clientela
170,34152000-7,Simuladores de treino
171,80411000-8,Serviços das escolas de condução
172,71310000-4,Serviços de consultoria em matéria de engenharia e construção
173,79970000-4,Serviços de publicação
174,18530000-3,Prendas e brindes
175,03212000-0,Batatas e produtos hortícolas secos
176,48222000-0,Pacote de software para servidores Web
177,34100000-8,Veículos a motor
178,39100000-3,Mobiliário
179,50800000-3,Serviços de reparação e manutenção diversos
180,45221119-9,Obras de renovação de pontes
181,15100000-9,"Produtos de origem animal, carne e produtos à base de carne"
182,92521100-0,Serviços de exposições em museus
183,79821000-5,Serviços de acabamento de material impresso
184,34351100-3,"Pneus para veículos automóveis | 50100000-6 - Serviços de reparação e manutenção de veículos e equipamento afim, e serviços conexos"
185,44211100-3,Módulos pré-fabricados portáteis
186,80500000-9,Serviços de formação
187,24960000-1,Produtos químicos diversos
188,80410000-1,Serviços escolares diversos
189,63500000-4,"Serviços de agências de viagens, de operadores turísticos e de assistência a turistas"
190,45233000-9,"Construção, fundação e pavimentação de vias rápidas e estradas"
191,92312250-8,Serviços prestados por artistas individuais
192,80000000-4,Serviços de ensino e formação
193,44510000-8,Ferramentas
194,48218000-9,Pacote de software para gestão de licenças
195,30192000-1,Material de escritório
196,03300000-2,"Produtos da agricultura, da caça e da pesca"
197,42000000-6,Máquinas industriais
198,79412000-5,Serviços de consultoria em matéria de gestão financeira
199,45262700-8,Obras de transformação de edifícios
200,45331000-6,"Instalação de aquecimento, ventilação e ar condicionado"
201,98311000-6,Serviços de recolha de roupa por lavandarias
202,79112000-2,Serviços de representação jurídica
203,92312230-2,Serviços prestados por escultores
204,44115700-6,Estores exteriores
205,79342000-3,Serviços de marketing
206,79400000-8,Serviços de consultoria em matéria comercial e de gestão e serviços conexos
207,22210000-5,Jornais
208,75000000-6,"Serviços relacionados com a administração pública, a defesa e a segurança social"
209,50710000-5,Serviços de reparação e manutenção de equipamento eléctrico e mecânico em edifícios
210,50400000-9,Serviços de reparação e manutenção de equipamento médico e de precisão
211,98370000-7,Serviços funerários e afins
212,92340000-6,Serviços de espectáculos recreativos e de dança
213,66512000-2,Serviços de seguros de acidentes e de saúde
214,33141640-8,Drenos
215,72268000-1,Serviços de fornecimento de software
216,75110000-0,Serviços públicos gerais
217,66000000-0,Serviços de finanças e seguros
218,71356200-0,Serviços de assistência técnica
219,48100000-9,Pacote de software para sectores específicos
220,18330000-1,Camisolas de manga curta (t-shirts) e camisas
221,50411000-9,Serviços de reparação e manutenção de aparelhos de medição
222,65000000-3,Serviços públicos
223,18930000-7,Sacas e sacos
224,33140000-3,Material médico de consumo
225,24455000-8,Desinfectantes
226,34300000-0,Peças e acessórios para veículos e seus motores
227,72260000-5,Serviços relacionados com software
228,45262620-3,Paredes de sustentação
229,72500000-0,Serviços relacionados com a informática
230,18100000-0,"Vestuário profissional, vestuário de trabalho especial e acessórios"
231,45112500-0,Movimento de terras
232,33694000-1,Meios de diagnóstico
233,45232130-2,Construção de condutas para águas pluviais
234,31711000-3,Material electrónico
235,71356300-1,Serviços de apoio técnico
236,72322000-8,Serviços de gestão de dados
237,92620000-3,Serviços relacionados com o desporto
238,44190000-8,Materiais de construção diversos
239,72267000-4,Serviços de manutenção e reparação de software
240,48000000-8,Pacotes de software e sistemas de informação
241,15811000-6,Produtos de panificação
242,45210000-2,Construção de edifícios
243,77231500-3,Serviços de monitorização ou avaliação florestal
244,15860000-4,"Café, chá e produtos afins"
245,22113000-5,Livros de biblioteca
246,34928480-6,Contentores e baldes para lixo e resíduos
247,34350000-5,Pneus para utilização intensiva e não-intensiva
248,75251110-4,Serviços de prevenção de incêndios
249,48210000-3,Pacote de software para ligações em rede
250,22459100-3,Autocolantes e faixas de publicidade
251,90721600-3,Serviços de radioprotecção
252,71621000-7,Serviços técnicos de análise ou consultoria
253,19000000-6,"Materiais têxteis, de couro, de plástico e de borracha"
254,38500000-0,Aparelhos de controlo e ensaio
255,90610000-6,Serviços de limpeza e varrimento de ruas
256,50241100-7,Serviços de reparação de embarcações
257,45232400-6,Obras de construção de esgotos
259,85322000-2,Programa de acção comunitária
260,30211400-5,Configurações informáticas
261,55523000-2,Serviços de fornecimento de refeições (catering) a outras empresas e instituições
262,90911200-8,Serviços de limpeza de edifícios
263,79210000-9,Serviços de contabilidade e auditoria
264,72222300-0,Serviços relacionados com as tecnologias da informação
265,90900000-6,Serviços de limpeza e saneamento
266,33183000-6,Material de assistência ortopédica
267,79341000-6,Serviços de publicidade
268,77310000-6,Serviços de plantação e manutenção de áreas verdes
269,45231300-8,Construção de condutas para água e águas residuais
270,42600000-2,Máquinas-ferramentas
271,15700000-5,Alimentos para animais
272,85148000-8,Serviços de análises clínicas
273,15221000-3,Peixe congelado
274,45233251-3,Renovação de pavimentos
275,15870000-7,Condimentos e temperos
276,45212100-7,Construção de instalações para ocupação de tempos livres
277,48900000-7,Pacote de software e sistemas informáticos diversos | 72267100-0 - Manutenção de software para as tecnologias da infomação
278,72242000-3,Serviços de modelização para o desenho de projectos
279,92400000-5,Serviços das agências noticiosas
280,85300000-2,Serviços de acção social e serviços conexos
281,45112700-2,Trabalhos de paisagismo
282,03131100-9,Café em grão
283,90511000-2,Serviços de recolha de resíduos
284,85311100-3,Serviços de assistência social a pessoas idosas
285,63521000-7,Serviços de agências de transporte de mercadorias
286,34946120-7,Material ferroviário
287,73200000-4,Serviços de consultoria em matéria de investigação e desenvolvimento
288,44114200-4,Produtos de betão
289,31440000-2,Baterias
290,92342000-0,Serviços de ensino de dança
291,71000000-8,"Serviços de arquitectura, construção, engenharia e inspecção"
292,71351500-8,Serviços de estudo de terrenos
293,55322000-3,Serviços de confecção de refeições
294,79211000-6,Serviços de contabilidade
295,92312240-5,Serviços prestados por artistas
296,72321000-1,Serviços de valor acrescentado relacionados com bases de dados
297,48451000-4,Pacote de software para planeamento de recursos empresariais
298,45232120-9,Obras relacionadas com irrigação
299,39130000-2,Mobiliário de escritório
300,90512000-9,Serviços de transporte de resíduos
301,32250000-0,Telefones móveis
302,72700000-7,Serviços de rede informática
303,32310000-9,Aparelhos receptores de rádio
304,64000000-6,Serviços postais e de telecomunicações
305,79414000-9,Serviços de consultoria em matéria de gestão de recursos humanos
306,50882000-1,Serviços de reparação e manutenção de equipamento para restauração
307,71541000-2,Serviços de gestão de projectos de construção
308,18110000-3,Vestuário profissional
309,45233160-8,Vias e outras superfícies empedradas
310,85310000-5,Serviços de acção social
311,92312140-4,Serviços recreativos das orquestras
312,66518100-5,Serviços de corretagem em matéria de seguros
313,79521000-2,Serviços de fotocópia
314,39140000-5,Mobiliário doméstico
315,42122220-8,Bombas para águas residuais
316,15511000-3,Leite
317,79212000-3,Serviços de auditoria
318,15980000-1,Bebidas não alcoólicas
319,85100000-0,Serviços de saúde
320,79950000-8,"Serviços de organização de exposições, feiras e congressos"
321,33640000-8,Medicamentos para o aparelho geniturinário e hormonas
322,18220000-7,Vestuário de protecção contra as intempéries
323,98341000-5,Serviços de alojamento
324,22900000-9,Material impresso diverso
325,92600000-7,Serviços de desporto
326,60112000-6,Serviços de transporte público rodoviário
327,31110000-0,Motores eléctricos
328,35121000-8,Equipamento de segurança e protecção
329,65300000-6,Serviços de distribuição de electricidade e serviços conexos
330,92100000-2,Serviços cinematográficos e de vídeo
331,48421000-5,Pacote de software para gestão de instalações
332,79300000-7,Pesquisa de mercado e económica; sondagem e estatísticas
333,65200000-5,Serviços de distribuição de gás e serviços conexos
334,15250000-5,Marisco
335,31224400-6,Cabos de ligação
336,92330000-3,Serviços relacionados com zonas de recreio
337,45214700-7,Construção de residências universitárias
338,30213100-6,Computadores portáteis
339,51214000-5,Serviços de instalação de parquímetros
340,03311200-4,Peixes da família do bacalhau
341,39221000-7,Equipamento de cozinha
342,45215400-1,Obras relacionadas com cemitérios
343,09133000-0,Gás de petróleo liquefeito (GPL)
344,50230000-6,Serviços de reparação e manutenção e serviços conexos relacionados com estradas e outros equipamentos
345,50413000-3,Serviços de reparação e manutenção de aparelhos de controlo
346,30197630-1,Papel para impressão
347,15331100-8,Produtos hortícolas frescos ou congelados
348,33734000-4,Óculos
349,98390000-3,Outros serviços
350,31680000-6,Aparelhos e acessórios eléctricos
351,44613800-8,Contentores para resíduos
352,72200000-7,Serviços de consultoria e de programação de software
354,03452000-3,Árvores
355,71700000-5,Serviços de controlo e monitorização
356,72600000-6,Serviços de consultoria e assistência informáticas
357,44613000-0,Grandes contentores
358,90919300-5,Serviços de limpeza de escolas
359,15220000-6,"Peixe, filetes de peixe e outras carnes de peixe, congelados"
360,30199760-5,Etiquetas
361,37524100-8,Jogos educativos
362,64110000-0,Serviços postais
363,45232332-8,Obras anexas relacionadas com telecomunicações
364,03142500-3,Ovos
365,32000000-3,"Equipamento de rádio, televisão, comunicação, telecomunicações e afins"
366,60171000-7,Aluguer de automóveis de passageiros com condutor
368,30236000-2,Equipamento informático diverso
369,71631100-1,Serviços de inspecção de máquinas
370,39300000-5,Equipamento diverso
371,18000000-9,"Vestuário, calçado, malas e artigos de viagem, acessórios"
372,44111200-3,Cimento
373,30100000-0,"Máquinas, equipamento e material de escritório, excepto computadores, impressoras e mobiliário"
374,90921000-9,Serviços de desinfecção e exterminação
375,85140000-2,Serviços de saúde diversos
376,42512200-0,Aparelhos de ar condicionado para instalação em paredes
377,79342300-6,Serviços prestados a clientes
378,09331200-0,Módulos solares fotovoltaicos
379,73220000-0,Serviços de consultoria em matéria de desenvolvimento
380,33141700-7,Material ortopédico
381,72212610-8,Serviços de desenvolvimento de software para bases de dados
382,55110000-4,Serviços de alojamento em hotéis
383,39162110-9,Material pedagógico
384,33652000-5,Antineoplásicos e imunomoduladores
385,71540000-5,Serviços de gestão de obras
386,33182000-9,Material de assistência à função cardíaca
387,50110000-9,Serviços de reparação e manutenção de veículos e equipamento afim
388,42123200-9,Compressores rotativos
389,79952100-3,Serviços de organização de eventos culturais
390,42160000-8,Instalações para caldeiras
391,45262330-3,Reparação de betão
392,09132000-3,Gasolina
393,24312000-4,"Halogenados metálicos; hipocloritos, cloratos e percloratos"
394,14210000-6,"Saibro, areia, brita e agregados"
395,33790000-4,"Artigos de vidro para laboratório, higiene ou farmácia"
396,98000000-3,"Outros serviços comunitários, sociais e pessoais"
397,38421100-3,Contadores de água
398,90919100-3,Serviços de limpeza de equipamento de escritório
399,79956000-0,Serviços de organização de feiras e exposições
400,34144900-7,Veículos eléctricos
401,39830000-9,Produtos de limpeza
402,16000000-5,Maquinaria agrícola
403,64221000-1,Serviços de interconexão
404,85000000-9,Serviços de saúde e acção social
405,55320000-9,Serviços de provimento de refeições
406,45212300-9,Construção de edifícios para usos culturais e artísticos
407,60182000-7,Aluguer de veículos industriais com condutor
408,31625000-3,Alarmes contra roubo e incêndios
409,90470000-2,Serviços de limpeza de esgotos
410,90919000-2,"Serviços de limpeza de escritórios, de escolas e de equipamento de escritório"
411,42214110-3,Grelhadores
412,90513600-2,Serviços de remoção de lamas
413,37400000-2,Equipamento e artigos de desporto
415,30125100-2,Cartuchos de tinta (toner) | 50313100-3 - Serviços de reparação de fotocopiadoras | 50313200-4 - Serviços de manutenção de fotocopiadoras
416,51000000-9,Serviços de instalação (excepto software)
417,33192000-2,Mobiliário para fins médicos
418,63712400-7,Serviços de estacionamento
419,15896000-5,Produtos ultracongelados
420,34928200-0,Vedações
421,90918000-5,Serviços de limpeza de contentores de lixo
423,45300000-0,Instalações em edifícios
424,34980000-0,Títulos de transporte
425,75131100-4,Serviços gerais de pessoal destinados às entidades governamentais
426,80510000-2,Serviços de formação especializada
427,90711100-5,Avaliação de riscos fora do âmbito da construção
428,42124000-4,"Peças para bombas, compressores e motores"
429,45315300-1,Instalações de abastecimento de electricidade
430,66500000-5,Serviços de seguros e pensões
431,45247220-8,Construção de açude
432,14212000-0,"Grânulos, cascalho, pós de pedra, seixos rolados, saibro, pedra britada e triturada, misturas de pedra, seixo-escória e outros agregados"
433,42131100-7,Válvulas definidas pela função
434,79341100-7,Serviços de consultoria em matéria de publicidade
435,15321000-4,Sumos de fruta
436,85121000-3,Serviços de prática médica
438,35520000-5,Peças para navios de guerra
439,15300000-1,"Fruta, produtos hortícolas e produtos afins"
440,31523000-8,Placas sinaléticas e sinais luminosos
441,50530000-9,Serviços de reparação e manutenção de máquinas
442,38300000-8,Instrumentos de medição
443,72210000-0,Serviços de programação de pacotes de software
444,79600000-0,Serviços de recrutamento
445,79132000-8,Serviços de certificação
446,72400000-4,Serviços de Internet
447,98113000-8,Serviços prestados por organizações especializadas
448,34114000-9,Veículos para usos especiais
449,75111100-8,Serviços executivos
450,14211100-4,Areia natural | 14212200-2 - Agregados | 14212300-3 - Pedra britada e triturada
451,90700000-4,Serviços ambientais
452,30213300-8,Computadores de secretária (desktop computers)
453,79315000-5,Serviços de investigação social
454,70333000-4,Serviços relacionados com a habitação
455,70000000-1,Serviços imobiliários
456,30190000-7,Equipamento e material de escritório diverso
457,18500000-4,Artigos de joalharia e relojoaria e afins
458,30192700-8,Artigos de papelaria
459,45214300-3,Construção de edifícios para ensino superior
460,33193120-6,Cadeiras de rodas
461,72910000-2,Serviços informáticos de segurança
462,71220000-6,Serviços de design arquitectónico
463,75123000-4,Serviços administrativos na área da habitação
464,45343000-3,Instalação de equipamento para prevenção de incêndios
465,98395000-8,Serviços de serralharia
466,98310000-9,Serviços de lavagem e de limpeza a seco
467,45232460-4,Obras de saneamento
468,85112000-7,Serviços de assistência hospitalar
469,22211000-2,Revistas especializadas
470,51110000-6,Serviços de instalação de equipamento eléctrico
471,03000000-1,"Produtos da agricultura, da pesca, da silvicultura e afins"
472,42996000-4,Máquinas para tratamento de águas residuais
473,77200000-2,Serviços florestais
474,85312320-8,Serviços de aconselhamento
475,92312211-3,Serviços de redacção
476,30211300-4,Plataformas informáticas
477,15811100-7,Pão
478,34928470-3,Sinalização
479,92360000-2,Serviços de pirotecnia
480,33750000-2,Produtos para bebés
481,50112000-3,Serviços de reparação e manutenção de automóveis
482,30160000-8,Cartões magnéticos
483,98371110-8,Serviços de cemitérios
484,42710000-6,Máquinas para têxteis
485,85111820-4,Serviços de análise bacteriológica
486,79931000-9,Serviços de decoração de interiores
487,34110000-1,Automóveis de passageiros
488,38510000-3,Microscópios
489,24000000-4,Produtos químicos
490,63510000-7,Serviços de agências de viagens e serviços similares
491,42512000-8,Instalações de ar condicionado
492,50111100-7,Serviços de gestão de frotas de veículos
493,24450000-3,Produtos agroquímicos
494,33180000-5,Apoio funcional
495,66110000-4,Serviços de banca
496,71631000-0,Serviços técnicos de inspecção
497,60140000-1,Transportes não regulares de passageiros
498,98341120-2,Serviços de portaria
499,39515400-9,Estores
500,72261000-2,Serviços de assistência em matéria de software
501,15411110-6,Azeite
502,71520000-9,Serviços de supervisão da construção
503,50421000-2,Serviços de reparação e manutenção de equipamento médico
504,39291000-8,Material para lavandaria
505,72510000-3,Serviços de gestão relacionados com a informática
506,45233253-7,Pavimentação de vias para peões
507,32351000-8,Acessórios para equipamento de som e imagem
508,43000000-3,"Maquinaria para extracção mineira e pedreiras, equipamento de construção"
509,72590000-7,Serviços de informática prestados por profissionais
510,33192160-1,Macas
511,72267100-0,Manutenção de software para as tecnologias da infomação
512,71314300-5,Serviços de consultoria em matéria de rendimento energético
513,79410000-1,Serviços de consultoria em matéria comercial e de gestão
514,44113700-2,Materiais para reparação de estradas
515,79419000-4,Serviços de consultoria para avaliação
516,65310000-9,Distribuição de electricidade
517,75125000-8,Serviços administrativos relacionados com assuntos turísticos
518,15812000-3,Produtos de pastelaria e bolos
519,33184300-6,Próteses cardíacas
520,30213200-7,Computadores tabulares (tablet computers)
521,32323500-8,Sistema de vigilância por vídeo
522,48821000-9,Servidores de rede
523,39350000-0,Equipamento para estações de depuração
524,15833100-7,Sobremesas
525,73300000-5,Concepção e execução em matéria de investigação e desenvolvimento
526,45212200-8,Construção de instalações desportivas
527,45233161-5,Construção de via pedonal
528,32342410-9,Equipamento de som
530,71247000-1,Supervisão de trabalhos de construção
531,45261420-4,Obras de impermeabilização
532,45520000-8,"Aluguer de máquinas de terraplenagem, com operador"
533,45233262-3,Construção de zona pedonal
534,71900000-7,Serviços laboratoriais
535,42961100-1,Sistema de controlo de acessos
536,75112100-5,Serviços administrativos relacionados com projectos de desenvolvimento
537,45223300-9,Construção de parque de estacionamento
538,30197600-2,Papel e cartão transformados
539,80540000-1,Serviços de formação em matéria de ambiente
540,90513800-4,Serviços de tratamento de lamas
541,44144000-1,Colunas
542,50532000-3,Serviços de reparação e manutenção de máquinas e aparelhos eléctricos e de equipamento afim
543,31711140-6,Eléctrodos
544,71319000-7,Serviços de consultoria de peritos
545,42300000-9,"Fornos, fornalhas e incineradores industriais ou de laboratório"
546,72220000-3,Serviços de consultoria técnica e em matéria de sistemas
547,39800000-0,Produtos de limpeza e polimento
548,15981000-8,Águas minerais
549,48219000-6,Pacote de software para ligações diversas em rede
550,42990000-2,Máquinas diversas para usos específicos
551,79530000-8,Serviços de tradução
552,31214500-4,Quadros eléctricos | 51112000-0 - Serviços de instalação de equipamento para distribuição e controlo de electricidade
553,79221000-9,Serviços de consultoria fiscal
554,38650000-6,Equipamento para fotografia
555,03310000-5,"Peixes, crustáceos e produtos aquáticos"
556,45230000-8,"Construção de condutas de longa distância, de linhas para comunicação e transporte de energia, vias rápidas, estradas, aeródromos e vias férreas; nivelamento"
557,79960000-1,Serviços de fotografia e auxiliares
558,72212100-0,Serviços de desenvolvimento de software para sectores específicos
559,14310000-7,Adubos minerais
560,71241000-9,"Estudo de viabilidade, serviço consultivo, análise"
561,45321000-3,Obras de isolamento térmico
562,09122100-1,Gás propano
563,92312200-3,"Serviços fornecidos por autores, compositores, escultores, artistas e outros artistas individuais"
564,30211500-6,Unidade central de processamento (UCP) ou processadora
565,71400000-2,Serviços de arquitectura paisagística e planeamento urbano
566,44167000-8,Acessórios diversos para tubos
567,39290000-1,Acessórios diversos
568,79417000-0,Serviços de consultoria em matéria de segurança
569,50324200-4,Serviços de manutenção preventiva
570,09132100-4,Gasolina sem chumbo
571,44115210-4,Materiais para canalização
572,34115200-8,Veículos a motor para o transporte de menos de dez pessoas
573,71314100-3,Serviços de electricidade
574,38112100-4,Sistemas de navegação e posicionamento globais (GPS ou equivalentes)
575,50114000-7,Serviços de reparação e manutenção de camiões
576,79342320-2,Serviços de atendimento a clientes
577,31600000-2,Equipamento e aparelhos eléctricos | 50532000-3 - Serviços de reparação e manutenção de máquinas e aparelhos eléctricos e de equipamento afim
578,30197000-6,Pequeno equipamento de escritório
579,75121000-0,Serviços administrativos na área da educação
580,79824000-6,Serviços de impressão e distribuição
581,45233252-0,Pavimentação de ruas
582,45232431-2,Estação de bombagem de águas residuais
583,34115000-6,Outros veículos de passageiros
585,79711000-1,Serviços de controlo de alarmes
587,51410000-9,Serviços de instalação de equipamento médico
588,45223800-4,Montagem e edificação de estruturas prefabricadas
589,33190000-8,Dispositivos e produtos médicos variados
590,79621000-3,Serviços de fornecimento de pessoal de escritório
591,14820000-5,Vidro
592,44192000-2,Outros materiais de construção diversos
593,85111800-8,Serviços de patologia
594,98351110-2,Serviços de controlo do estacionamento
595,79930000-2,Serviços de concepção de modelos especializados
596,55520000-1,Serviços de fornecimento de refeições (catering)
597,39000000-2,"Mobiliário (incl. de escritório), acessórios, aparelhos domésticos (excl. iluminação) e produtos de limpeza"
598,71351000-3,Serviços de prospecção geológica e geofísica e outros serviços de prospecção científica
599,90524400-0,"Recolha, transporte e eliminação de resíduos hospitalares"
600,75252000-7,Serviços de socorro
601,77000000-0,"Serviços de agricultura, silvicultura, horticultura, aquicultura e apicultura"
